"ID","TRAIN_COST_SCALED","TRAIN_TT_SCALED","SM_COST_SCALED","SM_TT_SCALED","CAR_CO_SCALED","CAR_TT_SCALED","CHOICE"
8,0.2,1.26,0.24,0.56,0.39,1,2
8,0.2,1.09,0.32,0.53,0.24,1,3
8,0.26,1,0.4,0.6,0.3,0.8,3
8,0.2,1,0.26,0.6,0.3,1,2
8,0.22,1.26,0.28,0.53,0.3,0.8,2
9,0.24,1.16,0.28,0.53,0.32,0.6,2
9,0.22,1.16,0.32,0.46,0.4,0.78,2
9,0.24,1.16,0.36,0.49,0.52,0.78,2
9,0.22,0.95,0.32,0.46,0.52,0.48,2
9,0.24,1.02,0.29,0.46,0.32,0.78,2
9,0.29,1.02,0.32,0.46,0.32,0.48,2
9,0.22,1.02,0.25,0.49,0.4,0.48,2
9,0.24,1.02,0.36,0.49,0.4,0.6,2
9,0.29,1.16,0.35,0.49,0.52,0.48,2
14,0.31,1.3,0.38,0.77,1,0.91,2
14,0.31,1.18,0.36,0.74,1.3,0.91,2
14,0.31,1.53,0.43,0.81,0.8,0.91,2
14,0.26,1.18,0.38,0.77,0.8,0.56,1
14,0.23,1.53,0.28,0.77,1.3,0.7,2
14,0.23,1.3,0.35,0.74,0.8,0.7,2
14,0.31,1.18,0.43,0.81,1,0.56,2
14,0.23,1.18,0.29,0.81,1,0.7,1
14,0.26,1.53,0.32,0.74,1,0.56,2
16,0.62,2.08,0.66,0.79,0.8,1.9,2
16,0.62,2.08,0.8,0.71,1.3,2.47,2
16,0.56,2.08,0.74,0.65,1,2.47,2
16,0.56,1.65,0.74,0.65,1.3,1.52,2
16,0.62,1.79,0.7,0.65,0.8,2.47,2
16,0.56,1.79,0.62,0.71,1,1.52,2
16,0.74,1.79,0.78,0.65,0.8,1.52,2
16,0.74,2.08,0.8,0.71,1.3,1.52,2
16,0.62,1.79,0.8,0.71,1,1.9,2
17,0.23,1.32,0.26,0.61,0.2,0.9,2
17,0.23,1.32,0.31,0.57,0.32,1.17,2
17,0.21,1.32,0.28,0.54,0.25,1.17,2
17,0.21,1.02,0.28,0.54,0.32,0.72,2
17,0.23,1.12,0.28,0.54,0.2,1.17,2
17,0.21,1.12,0.24,0.57,0.25,0.72,2
17,0.28,1.12,0.3,0.54,0.2,0.72,2
17,0.28,1.32,0.31,0.57,0.32,0.72,2
17,0.23,1.12,0.31,0.57,0.25,0.9,2
18,0.24,1.86,0.27,0.95,0.32,1.1,2
18,0.24,1.86,0.32,0.89,0.52,1.43,2
18,0.22,1.86,0.3,0.84,0.4,1.43,2
18,0.22,1.54,0.3,0.84,0.52,0.88,2
18,0.24,1.65,0.28,0.84,0.32,1.43,2
18,0.22,1.65,0.25,0.89,0.4,0.88,2
18,0.29,1.65,0.3,0.84,0.32,0.88,2
18,0.29,1.86,0.32,0.89,0.52,0.88,2
18,0.24,1.65,0.32,0.89,0.4,1.1,2
19,0.26,2.12,0.27,1.21,0.1,12,3
19,0.2,1.77,0.23,1.28,0.13,15.6,1
19,0.2,1.59,0.22,1.24,0.08,15.6,3
19,0.2,2.12,0.23,1.28,0.08,9.6,3
19,0.22,1.77,0.24,1.28,0.13,9.6,1
19,0.22,1.59,0.24,1.28,0.1,15.6,1
19,0.26,1.59,0.28,1.24,0.08,12,2
19,0.22,1.59,0.25,1.21,0.13,12,2
19,0.26,1.77,0.31,1.28,0.13,12,1
20,0.31,1.79,0.32,0.96,0.3,1.1,2
20,0.23,1.37,0.27,0.99,0.24,1.43,2
20,0.23,1.79,0.28,1.03,0.24,0.88,3
20,0.23,1.51,0.28,1.03,0.39,1.43,2
20,0.26,1.51,0.28,1.03,0.39,0.88,2
20,0.26,1.37,0.28,1.03,0.3,1.43,2
20,0.31,1.37,0.34,0.99,0.24,1.1,2
20,0.26,1.37,0.3,0.96,0.39,1.1,2
20,0.31,1.51,0.38,1.03,0.39,1.1,2
22,0.52,1.08,0.62,0.43,0.36,0.7,3
22,0.52,1.08,0.8,0.39,0.58,0.91,1
22,0.47,1.08,0.71,0.36,0.45,0.91,1
22,0.47,0.87,0.71,0.36,0.58,0.56,1
22,0.52,0.94,0.65,0.36,0.36,0.91,3
22,0.47,0.94,0.57,0.39,0.45,0.56,1
22,0.62,0.94,0.71,0.36,0.36,0.56,3
22,0.62,1.08,0.76,0.39,0.58,0.56,3
22,0.52,0.94,0.8,0.39,0.45,0.7,3
23,0.54,1.02,0.68,0.49,0.5,0.78,2
23,0.54,0.95,0.63,0.46,0.65,0.78,2
23,0.54,1.16,0.83,0.53,0.4,0.78,1
23,0.45,0.95,0.7,0.49,0.4,0.48,1
23,0.4,1.16,0.5,0.49,0.65,0.6,2
23,0.4,1.02,0.63,0.46,0.4,0.6,2
23,0.54,0.95,0.83,0.53,0.5,0.48,1
23,0.4,0.95,0.52,0.53,0.5,0.6,1
23,0.45,1.16,0.58,0.46,0.5,0.48,2
25,1.19,1.79,1.39,0.66,0.9,1.82,3
25,0.99,1.64,1.39,0.66,0.72,1.12,3
25,1.19,1.64,1.28,0.6,1.17,1.82,2
25,1.19,2.1,1.61,0.74,0.72,1.82,2
25,0.89,2.1,1.06,0.66,1.17,1.4,2
25,0.89,1.79,1.28,0.6,0.72,1.4,2
25,1.19,1.64,1.61,0.74,0.9,1.12,3
25,0.89,1.64,1.11,0.74,0.9,1.4,3
25,0.99,2.1,1.23,0.6,0.9,1.12,3
26,0.74,2.33,0.84,0.77,0.44,1.9,2
26,0.74,2.33,1.04,0.67,0.71,2.47,2
26,0.67,2.33,0.97,0.59,0.55,2.47,2
26,0.67,1.77,0.97,0.59,0.71,1.52,2
26,0.74,1.96,0.87,0.59,0.44,2.47,2
26,0.67,1.96,0.77,0.67,0.55,1.52,2
26,0.89,1.96,0.97,0.59,0.44,1.52,2
26,0.89,2.33,1,0.67,0.71,1.52,2
26,0.74,1.96,1.04,0.67,0.55,1.9,2
29,0.6,1.1,0.65,0.55,0.8,0.91,1
29,0.6,1.03,0.6,0.52,1.04,0.91,2
29,0.6,1.24,0.8,0.59,0.64,0.91,1
29,0.5,1.03,0.8,0.55,0.64,0.56,1
29,0.45,1.24,0.6,0.55,1.04,0.7,1
29,0.45,1.1,0.8,0.52,0.64,0.7,2
29,0.6,1.03,0.8,0.59,0.8,0.56,2
29,0.45,1.03,0.65,0.59,0.8,0.7,1
29,0.5,1.24,0.65,0.52,0.8,0.56,2
30,0.6,1.18,0.6,0.46,0.27,0.7,2
30,0.45,0.97,0.6,0.49,0.22,0.91,2
30,0.45,1.18,0.65,0.53,0.22,0.56,2
30,0.45,1.04,0.65,0.53,0.35,0.91,2
30,0.5,1.04,0.6,0.53,0.35,0.56,2
30,0.5,0.97,0.6,0.53,0.27,0.91,2
30,0.6,0.97,0.65,0.49,0.22,0.7,2
30,0.5,0.97,0.65,0.46,0.35,0.7,2
30,0.6,1.04,0.8,0.53,0.35,0.7,2
31,0.6,1.82,0.65,0.69,0.8,1.82,2
31,0.6,1.65,0.6,0.63,1.04,1.82,2
31,0.6,2.15,0.8,0.77,0.64,1.82,2
31,0.5,1.65,0.8,0.69,0.64,1.12,2
31,0.45,2.15,0.6,0.69,1.04,1.4,2
31,0.45,1.82,0.8,0.63,0.64,1.4,2
31,0.6,1.65,0.8,0.77,0.8,1.12,3
31,0.45,1.65,0.65,0.77,0.8,1.4,2
31,0.5,2.15,0.65,0.63,0.8,1.12,2
37,0,0.66,0,0.37,0.32,0.5,2
37,0,0.66,0,0.35,0.52,0.65,2
37,0,0.66,0,0.33,0.4,0.65,2
37,0,0.56,0,0.33,0.52,0.4,2
37,0,0.59,0,0.33,0.32,0.65,2
37,0,0.59,0,0.35,0.4,0.4,2
37,0,0.59,0,0.33,0.32,0.4,2
37,0,0.66,0,0.35,0.52,0.4,2
37,0,0.59,0,0.35,0.4,0.5,2
41,0,2.74,0,1.31,0.48,2.1,2
41,0,2.74,0,1.23,0.78,2.73,1
41,0,2.74,0,1.17,0.6,2.73,1
41,0,2.09,0,1.17,0.78,1.68,1
41,0,2.31,0,1.17,0.48,2.73,2
41,0,2.31,0,1.23,0.6,1.68,2
41,0,2.31,0,1.17,0.48,1.68,2
41,0,2.74,0,1.23,0.78,1.68,2
41,0,2.31,0,1.23,0.6,2.1,1
42,0,1.09,0,0.44,0.4,0.9,2
42,0,1.09,0,0.4,0.65,1.17,2
42,0,1.09,0,0.37,0.5,1.17,1
42,0,0.88,0,0.37,0.65,0.72,2
42,0,0.95,0,0.37,0.4,1.17,2
42,0,0.95,0,0.4,0.5,0.72,2
42,0,0.95,0,0.37,0.4,0.72,2
42,0,1.09,0,0.4,0.65,0.72,2
42,0,0.95,0,0.4,0.5,0.9,2
44,0,1.41,0,0.62,0.55,0.9,2
44,0,1.09,0,0.65,0.44,1.17,2
44,0,1.41,0,0.69,0.44,0.72,2
44,0,1.2,0,0.69,0.71,1.17,2
44,0,1.2,0,0.69,0.71,0.72,2
44,0,1.09,0,0.69,0.55,1.17,2
44,0,1.09,0,0.65,0.44,0.9,2
44,0,1.09,0,0.62,0.71,0.9,2
44,0,1.2,0,0.69,0.71,0.9,1
45,0,1.73,0,0.97,0.48,0.9,2
45,0,1.73,0,0.93,0.78,1.17,1
45,0,1.73,0,0.9,0.6,1.17,1
45,0,1.36,0,0.9,0.78,0.72,1
45,0,1.48,0,0.9,0.48,1.17,1
45,0,1.48,0,0.93,0.6,0.72,2
45,0,1.48,0,0.9,0.48,0.72,2
45,0,1.73,0,0.93,0.78,0.72,2
45,0,1.48,0,0.93,0.6,0.9,1
47,0,0.92,0,0.39,0.3,0.78,2
47,0,0.85,0,0.36,0.39,0.78,2
47,0,1.06,0,0.43,0.24,0.78,2
47,0,0.85,0,0.39,0.24,0.48,2
47,0,1.06,0,0.39,0.39,0.6,2
47,0,0.92,0,0.36,0.24,0.6,2
47,0,0.85,0,0.43,0.3,0.48,2
47,0,0.85,0,0.43,0.3,0.6,2
47,0,1.06,0,0.36,0.3,0.48,2
48,0,0.54,0,0.21,0.84,0.4,2
48,0,0.54,0,0.25,0.67,0.32,1
48,0,0.44,0,0.23,0.67,0.52,2
48,0,0.47,0,0.25,1.09,0.52,1
48,0,0.47,0,0.25,1.09,0.32,2
48,0,0.44,0,0.25,0.84,0.52,2
48,0,0.44,0,0.23,0.67,0.4,2
48,0,0.47,0,0.25,1.09,0.4,1
48,0,0.44,0,0.21,1.09,0.4,1
49,0,1.33,0,0.62,0.4,0.75,2
49,0,1.33,0,0.58,0.65,0.97,2
49,0,1.33,0,0.55,0.5,0.97,2
49,0,1.03,0,0.55,0.65,0.6,2
49,0,1.13,0,0.55,0.4,0.97,2
49,0,1.13,0,0.58,0.5,0.6,2
49,0,1.13,0,0.55,0.4,0.6,2
49,0,1.33,0,0.58,0.65,0.6,2
49,0,1.13,0,0.58,0.5,0.75,2
50,0,2.63,0,1.12,0.75,1.5,2
50,0,2.03,0,1.18,0.6,1.95,2
50,0,2.63,0,1.26,0.6,1.2,2
50,0,2.23,0,1.26,0.97,1.95,2
50,0,2.23,0,1.26,0.97,1.2,2
50,0,2.03,0,1.26,0.75,1.95,2
50,0,2.03,0,1.18,0.6,1.5,2
50,0,2.03,0,1.12,0.97,1.5,2
50,0,2.23,0,1.26,0.97,1.5,1
51,0,1.07,0,0.81,0.44,0.9,2
51,0,1.07,0,0.79,0.71,1.17,2
51,0,1.07,0,0.77,0.55,1.17,2
51,0,0.82,0,0.77,0.71,0.72,2
51,0,0.9,0,0.77,0.44,1.17,2
51,0,0.9,0,0.79,0.55,0.72,2
51,0,0.9,0,0.77,0.44,0.72,2
51,0,1.07,0,0.79,0.71,0.72,2
51,0,0.9,0,0.79,0.55,0.9,2
53,0,1.38,0,0.83,1.6,1.04,2
53,0,1.26,0,0.8,2.08,1.04,2
53,0,1.63,0,0.87,1.28,1.04,2
53,0,1.26,0,0.83,1.28,0.64,1
53,0,1.63,0,0.83,2.08,0.8,2
53,0,1.38,0,0.8,1.28,0.8,2
53,0,1.26,0,0.87,1.6,0.64,2
53,0,1.26,0,0.87,1.6,0.8,2
53,0,1.63,0,0.8,1.6,0.64,2
56,2.18,0.97,2.62,0.39,0.28,0.5,2
56,2.18,0.97,3.49,0.36,0.45,0.65,2
56,1.96,0.97,3.49,0.34,0.35,0.65,1
56,1.96,0.79,3.49,0.34,0.45,0.4,1
56,2.18,0.85,2.83,0.34,0.28,0.65,2
56,1.96,0.85,2.62,0.36,0.35,0.4,2
56,2.62,0.85,2.62,0.34,0.28,0.4,2
56,2.62,0.97,2.83,0.36,0.45,0.4,2
56,2.18,0.85,3.49,0.36,0.35,0.5,2
57,0.6,2.57,0.6,1.02,1.05,1.6,2
57,0.45,1.95,0.6,1.08,0.84,2.08,2
57,0.45,2.57,0.65,1.16,0.84,1.28,2
57,0.45,2.16,0.65,1.16,1.36,2.08,2
57,0.5,2.16,0.6,1.16,1.36,1.28,2
57,0.5,1.95,0.6,1.16,1.05,2.08,2
57,0.6,1.95,0.65,1.08,0.84,1.6,2
57,0.5,1.95,0.65,1.02,1.36,1.6,2
57,0.6,2.16,0.8,1.16,1.36,1.6,2
58,1.79,0.92,2.15,0.34,0.24,0.6,2
58,1.79,0.92,2.86,0.31,0.39,0.78,1
58,1.61,0.92,2.86,0.29,0.3,0.78,1
58,1.61,0.74,2.86,0.29,0.39,0.48,1
58,1.79,0.8,2.33,0.29,0.24,0.78,1
58,1.61,0.8,2.15,0.31,0.3,0.48,1
58,2.15,0.8,2.15,0.29,0.24,0.48,2
58,2.15,0.92,2.33,0.31,0.39,0.48,2
58,1.79,0.8,2.86,0.31,0.3,0.6,1
59,1.68,2.92,1.68,0.71,1.1,1.9,2
59,1.26,2.24,1.68,0.8,0.88,2.47,2
59,1.26,2.92,1.82,0.92,0.88,1.52,2
59,1.26,2.47,1.82,0.92,1.43,2.47,2
59,1.4,2.47,1.68,0.92,1.43,1.52,2
59,1.4,2.24,1.68,0.92,1.1,2.47,2
59,1.68,2.24,1.82,0.8,0.88,1.9,2
59,1.4,2.24,1.82,0.71,1.43,1.9,2
59,1.68,2.47,2.24,0.92,1.43,1.9,2
60,2.59,1.32,2.59,0.54,0.45,0.6,3
60,1.94,1.02,2.59,0.57,0.36,0.78,3
60,1.94,1.32,2.81,0.61,0.36,0.48,3
60,1.94,1.12,2.81,0.61,0.58,0.78,3
60,2.16,1.12,2.59,0.61,0.58,0.48,3
60,2.16,1.02,2.59,0.61,0.45,0.78,3
60,2.59,1.02,2.81,0.57,0.36,0.6,3
60,2.16,1.02,2.81,0.54,0.58,0.6,3
60,2.59,1.12,3.46,0.61,0.58,0.6,3
61,0.2,2.4,0.2,0.84,1.15,1.6,2
61,0.15,1.85,0.2,0.9,0.92,2.08,2
61,0.15,2.4,0.22,0.98,0.92,1.28,2
61,0.15,2.03,0.22,0.98,1.49,2.08,2
61,0.17,2.03,0.2,0.98,1.49,1.28,2
61,0.17,1.85,0.2,0.98,1.15,2.08,2
61,0.2,1.85,0.22,0.9,0.92,1.6,2
61,0.17,1.85,0.22,0.84,1.49,1.6,2
61,0.2,2.03,0.27,0.98,1.49,1.6,2
62,0.81,1.86,0.84,1.23,0.88,2.1,2
62,0.81,1.86,0.92,1.19,1.43,2.73,2
62,0.73,1.86,0.88,1.16,1.1,2.73,2
62,0.73,1.65,0.88,1.16,1.43,1.68,2
62,0.81,1.72,0.88,1.16,0.88,2.73,2
62,0.73,1.72,0.81,1.19,1.1,1.68,2
62,0.97,1.72,0.97,1.16,0.88,1.68,2
62,0.97,1.86,0.99,1.19,1.43,1.68,2
62,0.81,1.72,0.92,1.19,1.1,2.1,2
63,0.5,1.2,0.65,0.67,0.35,0.78,2
63,0.5,1.41,0.74,0.71,0.28,0.78,1
63,0.5,1.09,0.6,0.64,0.45,0.78,2
63,0.42,1.09,0.65,0.67,0.28,0.48,2
63,0.38,1.41,0.46,0.67,0.45,0.6,2
63,0.38,1.2,0.58,0.64,0.28,0.6,1
63,0.5,1.09,0.74,0.71,0.35,0.48,1
63,0.38,1.09,0.48,0.71,0.35,0.6,1
63,0.42,1.41,0.54,0.64,0.35,0.48,2
64,0.6,1.13,0.71,0.48,0.4,0.8,2
64,0.6,1.13,0.84,0.44,0.65,1.04,1
64,0.54,1.13,0.78,0.41,0.5,1.04,2
64,0.54,0.92,0.78,0.41,0.65,0.64,2
64,0.6,0.99,0.74,0.41,0.4,1.04,2
64,0.54,0.99,0.65,0.44,0.5,0.64,2
64,0.72,0.99,0.78,0.41,0.4,0.64,2
64,0.72,1.13,0.84,0.44,0.65,0.64,2
64,0.6,0.99,0.84,0.44,0.5,0.8,2
65,0.84,2.15,0.97,0.79,0.72,1.4,2
65,0.76,2.15,1.09,0.65,0.9,1.82,2
65,0.84,2.15,1.18,0.71,1.17,1.82,2
65,0.76,1.69,1.09,0.65,1.17,1.12,2
65,0.84,1.84,1.05,0.65,0.72,1.82,2
65,0.76,1.84,0.9,0.71,0.9,1.12,2
65,1.01,1.84,1.09,0.65,0.72,1.12,2
65,1.01,2.15,1.18,0.71,1.17,1.12,2
65,0.84,1.84,1.18,0.71,0.9,1.4,2
66,0.71,2.06,0.78,1.22,0.56,1.35,2
66,0.71,2.06,0.92,1.18,0.91,1.75,2
66,0.64,2.06,0.84,1.15,0.7,1.75,2
66,0.64,1.57,0.84,1.15,0.91,1.08,2
66,0.71,1.73,0.81,1.15,0.56,1.75,2
66,0.64,1.73,0.74,1.18,0.7,1.08,2
66,0.85,1.73,0.88,1.15,0.56,1.08,2
66,0.85,2.06,0.92,1.18,0.91,1.08,2
66,0.71,1.73,0.92,1.18,0.7,1.35,2
67,0.78,1.4,0.84,0.62,0.6,0.9,2
67,0.58,1.1,0.68,0.65,0.48,1.17,2
67,0.58,1.4,0.74,0.69,0.48,0.72,2
67,0.58,1.2,0.74,0.69,0.78,1.17,2
67,0.65,1.2,0.74,0.69,0.78,0.72,2
67,0.65,1.1,0.74,0.69,0.6,1.17,2
67,0.78,1.1,0.88,0.65,0.48,0.9,1
67,0.65,1.1,0.78,0.62,0.78,0.9,2
67,0.78,1.2,0.99,0.69,0.78,0.9,2
68,0.5,1.47,0.58,0.7,0.35,0.6,2
68,0.38,1.16,0.44,0.73,0.28,0.78,3
68,0.38,1.47,0.48,0.77,0.28,0.48,3
68,0.38,1.26,0.48,0.77,0.45,0.78,2
68,0.42,1.26,0.48,0.77,0.45,0.48,2
68,0.42,1.16,0.48,0.77,0.35,0.78,3
68,0.5,1.16,0.6,0.73,0.28,0.6,3
68,0.42,1.16,0.53,0.7,0.45,0.6,3
68,0.5,1.26,0.71,0.77,0.45,0.6,3
69,1.1,2.02,1.12,1.13,2.4,1.5,2
69,0.83,2.02,0.94,1.2,1.92,1.2,2
69,0.83,1.55,0.92,1.16,1.92,1.95,2
69,0.83,1.71,0.94,1.2,3.12,1.95,2
69,0.92,1.71,0.99,1.2,3.12,1.2,2
69,1.1,1.55,1.18,1.16,1.92,1.5,2
69,0.92,1.55,0.99,1.2,2.4,1.95,2
69,0.92,1.55,1.05,1.13,3.12,1.5,2
69,1.1,1.71,1.33,1.2,3.12,1.5,2
70,0.72,1.16,0.78,0.44,0.5,0.6,2
70,0.54,0.95,0.65,0.47,0.4,0.78,1
70,0.54,1.16,0.68,0.51,0.4,0.48,3
70,0.54,1.02,0.68,0.51,0.65,0.78,2
70,0.6,1.02,0.71,0.51,0.65,0.48,2
70,0.6,0.95,0.71,0.51,0.5,0.78,2
70,0.72,0.95,0.84,0.47,0.4,0.6,2
70,0.6,0.95,0.74,0.44,0.65,0.6,2
70,0.72,1.02,0.94,0.51,0.65,0.6,3
71,1.01,1.77,1.12,0.64,0.95,1.43,2
71,1.01,1.62,1.09,0.58,1.23,1.43,2
71,1.01,2.08,1.37,0.72,0.76,1.43,2
71,0.84,1.62,1.18,0.64,0.76,0.88,2
71,0.76,2.08,0.88,0.64,1.23,1.1,2
71,0.76,1.77,1.09,0.58,0.76,1.1,2
71,1.01,1.62,1.37,0.72,0.95,0.88,2
71,0.76,1.62,0.92,0.72,0.95,1.1,2
71,0.84,2.08,0.99,0.58,0.95,0.88,1
72,0.85,1.27,0.92,0.78,1.44,1.3,2
72,0.85,1.18,0.88,0.75,1.87,1.3,2
72,0.85,1.45,1.05,0.82,1.15,1.3,2
72,0.71,1.18,0.92,0.78,1.15,0.8,2
72,0.64,1.45,0.74,0.78,1.87,1,2
72,0.64,1.27,0.84,0.75,1.15,1,2
72,0.85,1.18,1.05,0.82,1.44,0.8,2
72,0.64,1.18,0.76,0.82,1.44,1,2
72,0.71,1.45,0.84,0.75,1.44,0.8,2
74,0.72,1.02,0.78,0.28,0.5,1.1,2
74,0.54,0.78,0.65,0.31,0.4,1.43,2
74,0.54,1.02,0.68,0.35,0.4,0.88,2
74,0.54,0.86,0.68,0.35,0.65,1.43,2
74,0.6,0.86,0.71,0.35,0.65,0.88,2
74,0.6,0.78,0.71,0.35,0.5,1.43,1
74,0.72,0.78,0.84,0.31,0.4,1.1,1
74,0.6,0.78,0.74,0.28,0.65,1.1,2
74,0.72,0.86,0.94,0.35,0.65,1.1,1
75,0.48,0.98,0.48,0.87,0.5,1.56,2
75,0.48,1.15,0.51,0.89,0.4,1.56,2
75,0.48,0.9,0.47,0.85,0.65,1.56,2
75,0.4,0.9,0.46,0.87,0.4,0.96,2
75,0.36,1.15,0.4,0.87,0.65,1.2,2
75,0.36,0.98,0.42,0.85,0.4,1.2,2
75,0.48,0.9,0.51,0.89,0.5,0.96,2
75,0.4,1.15,0.42,0.85,0.5,0.96,2
75,0.36,0.9,0.4,0.89,0.5,1.2,1
77,1.56,1.26,1.69,0.71,0.65,1.17,2
77,1.56,1.47,1.94,0.75,0.52,1.17,2
77,1.56,1.15,1.62,0.68,0.84,1.17,2
77,1.3,1.15,1.76,0.71,0.52,0.72,1
77,1.17,1.47,1.36,0.71,0.84,0.9,2
77,1.56,1.15,1.94,0.75,0.65,0.72,2
77,1.17,1.26,1.62,0.68,0.52,0.9,2
77,1.3,1.47,1.53,0.68,0.65,0.72,2
77,1.17,1.15,1.42,0.75,0.65,0.9,2
79,1.45,1.22,1.53,0.78,0.8,0.8,2
79,1.09,1.22,1.3,0.82,0.64,0.64,2
79,1.09,0.95,1.19,0.8,0.64,1.04,2
79,1.09,1.04,1.3,0.82,1.04,1.04,2
79,1.21,1.04,1.36,0.82,1.04,0.64,2
79,1.45,0.95,1.55,0.8,0.64,0.8,2
79,1.21,0.95,1.36,0.82,0.8,1.04,2
79,1.45,1.04,1.67,0.82,1.04,0.8,3
79,1.21,0.95,1.36,0.78,1.04,0.8,2
81,0.48,0.72,0.53,0.37,0.15,0.4,2
81,0.36,0.72,0.43,0.41,0.12,0.32,2
81,0.36,0.59,0.41,0.39,0.12,0.52,2
81,0.36,0.63,0.43,0.41,0.19,0.52,2
81,0.4,0.63,0.45,0.41,0.19,0.32,2
81,0.4,0.59,0.45,0.41,0.15,0.52,2
81,0.48,0.59,0.58,0.39,0.12,0.4,1
81,0.48,0.63,0.67,0.41,0.19,0.4,1
81,0.4,0.59,0.5,0.37,0.19,0.4,1
82,1,1.69,1.08,0.56,1.4,1.95,2
82,1,1.54,1,0.5,1.82,1.95,2
82,1,2,1.33,0.64,1.12,1.95,2
82,0.83,1.54,1.33,0.56,1.12,1.2,2
82,0.75,2,1,0.56,1.82,1.5,2
82,0.75,1.69,1.33,0.5,1.12,1.5,2
82,1,1.54,1.33,0.64,1.4,1.2,2
82,0.75,1.54,1.08,0.64,1.4,1.5,2
82,0.83,2,1.08,0.5,1.4,1.2,2
83,1,1.99,1.08,0.86,0.9,2.08,2
83,1,2.38,1.33,0.94,0.72,2.08,2
83,1,1.8,1,0.8,1.17,2.08,2
83,0.83,1.8,1.33,0.86,0.72,1.28,1
83,0.75,2.38,1,0.86,1.17,1.6,2
83,1,1.8,1.33,0.94,0.9,1.28,3
83,0.75,1.99,1.33,0.8,0.72,1.6,1
83,0.75,1.8,1.08,0.94,0.9,1.6,2
83,0.83,2.38,1.08,0.8,0.9,1.28,2
84,1,2.09,1,0.63,1,1.5,2
84,0.75,1.61,1,0.69,0.8,1.95,2
84,0.75,2.09,1.08,0.77,0.8,1.2,2
84,0.75,1.77,1.08,0.77,1.3,1.95,2
84,0.83,1.77,1,0.77,1.3,1.2,2
84,0.83,1.61,1,0.77,1,1.95,2
84,1,1.61,1.08,0.69,0.8,1.5,2
84,0.83,1.61,1.08,0.63,1.3,1.5,2
84,1,1.77,1.33,0.77,1.3,1.5,2
85,0.83,1.11,1,0.48,0.28,0.6,3
85,0.83,1.11,1.33,0.44,0.45,0.78,3
85,0.75,0.9,1.33,0.41,0.45,0.48,3
85,0.75,1.11,1.33,0.41,0.35,0.78,3
85,0.83,0.97,1.08,0.41,0.28,0.78,3
85,0.75,0.97,1,0.44,0.35,0.48,3
85,1,0.97,1,0.41,0.28,0.48,3
